Category,NoOfItems
BEAUTY,53
COMICS,56
PARENTING,60
EVENTS,64
ART_AND_DESIGN,64
HOUSE_AND_HOME,74
WEATHER,79
LIBRARIES_AND_DEMO,84
AUTO_AND_VEHICLES,85
ENTERTAINMENT,102
FOOD_AND_DRINK,112
EDUCATION,119
MAPS_AND_NAVIGATION,131
VIDEO_PLAYERS,163
DATING,171
SHOPPING,202
TRAVEL_AND_LOCAL,219
BOOKS_AND_REFERENCE,222
SOCIAL,239
NEWS_AND_MAGAZINES,254
PHOTOGRAPHY,281
HEALTH_AND_FITNESS,288
COMMUNICATION,315
SPORTS,325
FINANCE,345
LIFESTYLE,369
PRODUCTIVITY,374
PERSONALIZATION,376
MEDICAL,395
BUSINESS,420
TOOLS,827
GAME,959
FAMILY,1832
