Negative,Neutral,Positive,Category
0.16,0.16,0.68,ART_AND_DESIGN
0.06,0.12,0.82,AUTO_AND_VEHICLES
0.19,0.26,0.55,BEAUTY
0.15,0.17,0.69,BOOKS_AND_REFERENCE
0.16,0.24,0.61,BUSINESS
0.02,0.11,0.87,COMICS
0.2,0.17,0.63,COMMUNICATION
0.21,0.17,0.62,DATING
0.12,0.11,0.77,EDUCATION
0.25,0.15,0.6,ENTERTAINMENT
0.1,0.11,0.79,EVENTS
0.27,0.1,0.62,FAMILY
0.22,0.14,0.63,FINANCE
0.14,0.13,0.72,FOOD_AND_DRINK
0.36,0.05,0.59,GAME
0.11,0.11,0.78,HEALTH_AND_FITNESS
0.17,0.21,0.62,HOUSE_AND_HOME
0.15,0.13,0.71,LIBRARIES_AND_DEMO
0.18,0.2,0.62,LIFESTYLE
0.14,0.19,0.67,MAPS_AND_NAVIGATION
0.16,0.15,0.69,MEDICAL
0.27,0.14,0.6,NEWS_AND_MAGAZINES
0.09,0.2,0.71,PARENTING
0.15,0.15,0.7,PERSONALIZATION
0.2,0.14,0.66,PHOTOGRAPHY
0.18,0.14,0.68,PRODUCTIVITY
0.2,0.15,0.65,SHOPPING
0.28,0.17,0.55,SOCIAL
0.23,0.14,0.63,SPORTS
0.18,0.22,0.6,TOOLS
0.22,0.17,0.61,TRAVEL_AND_LOCAL
0.25,0.18,0.57,VIDEO_PLAYERS
0.14,0.15,0.71,WEATHER
