,Negative,Neutral,Positive,Category
0,0.15968586387434555,0.16230366492146597,0.6780104712041884,ART_AND_DESIGN
1,0.058823529411764705,0.1245674740484429,0.8166089965397924,AUTO_AND_VEHICLES
2,0.19230769230769232,0.2603550295857988,0.5473372781065089,BEAUTY
3,0.14592933947772657,0.16589861751152074,0.6881720430107527,BOOKS_AND_REFERENCE
4,0.15619223659889095,0.23844731977818853,0.6053604436229205,BUSINESS
5,0.022222222222222223,0.1111111111111111,0.8666666666666667,COMICS
6,0.2021484375,0.171875,0.6259765625,COMMUNICATION
7,0.21049562682215744,0.16676384839650146,0.6227405247813411,DATING
8,0.1204250295159386,0.10625737898465171,0.7733175914994097,EDUCATION
9,0.252373417721519,0.1463607594936709,0.6012658227848101,ENTERTAINMENT
10,0.10126582278481013,0.10759493670886076,0.7911392405063291,EVENTS
11,0.2747635639621702,0.10353409656545545,0.6217023394723743,FAMILY
12,0.2229965156794425,0.1421602787456446,0.6348432055749129,FINANCE
13,0.14420062695924765,0.13166144200626959,0.7241379310344828,FOOD_AND_DRINK
14,0.36058700209643607,0.05001497454327643,0.5893980233602875,GAME
15,0.11427301022676745,0.10582481102712317,0.7799021787461093,HEALTH_AND_FITNESS
16,0.17025440313111545,0.21330724070450097,0.6164383561643836,HOUSE_AND_HOME
17,0.15315315315315314,0.13213213213213212,0.7147147147147147,LIBRARIES_AND_DEMO
18,0.17714884696016772,0.20125786163522014,0.6215932914046122,LIFESTYLE
19,0.140625,0.1875,0.671875,MAPS_AND_NAVIGATION
20,0.15928571428571428,0.15,0.6907142857142857,MEDICAL
21,0.2653846153846154,0.13942307692307693,0.5951923076923077,NEWS_AND_MAGAZINES
22,0.08846153846153847,0.2,0.7115384615384616,PARENTING
23,0.14556331006979062,0.15453639082751744,0.6999002991026919,PERSONALIZATION
24,0.19982993197278912,0.1360544217687075,0.6641156462585034,PHOTOGRAPHY
25,0.18386876281613124,0.1394395078605605,0.6766917293233082,PRODUCTIVITY
26,0.19710467706013363,0.1492204899777283,0.6536748329621381,SHOPPING
27,0.28205128205128205,0.17273954116059378,0.5452091767881242,SOCIAL
28,0.22785665990534146,0.13793103448275862,0.6342123056118999,SPORTS
29,0.17643004824259131,0.21984838042729152,0.6037215713301172,TOOLS
30,0.21690307328605202,0.17198581560283688,0.6111111111111112,TRAVEL_AND_LOCAL
31,0.25075528700906347,0.17522658610271905,0.5740181268882175,VIDEO_PLAYERS
32,0.13930348258706468,0.15422885572139303,0.7064676616915423,WEATHER
